2026-03-18 00:49:42 | INFO | LOOP_START | Iteration 103
2026-03-18 00:49:46 | INFO | LOOP_START | Iteration 104
2026-03-18 00:49:50 | INFO | LOOP_START | Iteration 105
2026-03-18 00:49:54 | INFO | LOOP_START | Iteration 106
2026-03-18 00:49:58 | INFO | LOOP_START | Iteration 107
2026-03-18 00:50:01 | INFO | LOOP_START | Iteration 108
2026-03-18 00:50:05 | INFO | LOOP_START | Iteration 109
2026-03-18 00:50:09 | INFO | LOOP_START | Iteration 110
2026-03-18 00:50:12 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:50:13 | INFO | LOOP_START | Iteration 111
2026-03-18 00:50:17 | INFO | LOOP_START | Iteration 112
2026-03-18 00:50:21 | INFO | LOOP_START | Iteration 113
2026-03-18 00:50:24 | INFO | LOOP_START | Iteration 114
2026-03-18 00:50:28 | INFO | LOOP_START | Iteration 115
2026-03-18 00:50:32 | INFO | LOOP_START | Iteration 116
2026-03-18 00:50:36 | INFO | LOOP_START | Iteration 117
2026-03-18 00:50:40 | INFO | LOOP_START | Iteration 118
2026-03-18 00:50:44 | INFO | LOOP_START | Iteration 119
2026-03-18 00:50:48 | INFO | LOOP_START | Iteration 120
2026-03-18 00:50:50 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:50:51 | INFO | LOOP_START | Iteration 121
2026-03-18 00:50:55 | INFO | LOOP_START | Iteration 122
2026-03-18 00:50:59 | INFO | LOOP_START | Iteration 123
2026-03-18 00:51:03 | INFO | LOOP_START | Iteration 124
2026-03-18 00:51:07 | INFO | LOOP_START | Iteration 125
2026-03-18 00:51:10 | INFO | LOOP_START | Iteration 126
2026-03-18 00:51:14 | INFO | LOOP_START | Iteration 127
2026-03-18 00:51:18 | INFO | LOOP_START | Iteration 128
2026-03-18 00:51:22 | INFO | LOOP_START | Iteration 129
2026-03-18 00:51:25 | INFO | LOOP_START | Iteration 130
2026-03-18 00:51:28 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:51:29 | INFO | LOOP_START | Iteration 131
2026-03-18 00:51:32 | INFO | LOOP_START | Iteration 132
2026-03-18 00:51:36 | INFO | LOOP_START | Iteration 133
2026-03-18 00:51:40 | INFO | LOOP_START | Iteration 134
2026-03-18 00:51:44 | INFO | LOOP_START | Iteration 135
2026-03-18 00:51:47 | INFO | LOOP_START | Iteration 136
2026-03-18 00:51:51 | INFO | LOOP_START | Iteration 137
2026-03-18 00:51:55 | INFO | LOOP_START | Iteration 138
2026-03-18 00:51:59 | INFO | LOOP_START | Iteration 139
2026-03-18 00:52:02 | INFO | LOOP_START | Iteration 140
2026-03-18 00:52:05 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:52:06 | INFO | LOOP_START | Iteration 141
2026-03-18 00:52:10 | INFO | LOOP_START | Iteration 142
2026-03-18 00:52:13 | INFO | LOOP_START | Iteration 143
2026-03-18 00:52:17 | INFO | LOOP_START | Iteration 144
2026-03-18 00:52:21 | INFO | LOOP_START | Iteration 145
2026-03-18 00:52:25 | INFO | LOOP_START | Iteration 146
2026-03-18 00:52:30 | INFO | LOOP_START | Iteration 147
2026-03-18 00:52:34 | INFO | LOOP_START | Iteration 148
2026-03-18 00:52:38 | INFO | LOOP_START | Iteration 149
2026-03-18 00:52:41 | INFO | LOOP_START | Iteration 150
2026-03-18 00:52:44 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:52:45 | INFO | LOOP_START | Iteration 151
2026-03-18 00:52:49 | INFO | LOOP_START | Iteration 152
2026-03-18 00:52:53 | INFO | LOOP_START | Iteration 153
2026-03-18 00:52:56 | INFO | LOOP_START | Iteration 154
2026-03-18 00:53:00 | INFO | LOOP_START | Iteration 155
2026-03-18 00:53:04 | INFO | LOOP_START | Iteration 156
2026-03-18 00:53:08 | INFO | LOOP_START | Iteration 157
2026-03-18 00:53:11 | INFO | LOOP_START | Iteration 158
2026-03-18 00:53:15 | INFO | LOOP_START | Iteration 159
2026-03-18 00:53:19 | INFO | LOOP_START | Iteration 160
2026-03-18 00:53:22 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:53:23 | INFO | LOOP_START | Iteration 161
2026-03-18 00:53:26 | INFO | LOOP_START | Iteration 162
2026-03-18 00:53:31 | INFO | LOOP_START | Iteration 163
2026-03-18 00:53:34 | INFO | LOOP_START | Iteration 164
2026-03-18 00:53:38 | INFO | LOOP_START | Iteration 165
2026-03-18 00:53:42 | INFO | LOOP_START | Iteration 166
2026-03-18 00:53:46 | INFO | LOOP_START | Iteration 167
2026-03-18 00:53:50 | INFO | LOOP_START | Iteration 168
2026-03-18 00:53:53 | INFO | LOOP_START | Iteration 169
2026-03-18 00:53:57 | INFO | LOOP_START | Iteration 170
2026-03-18 00:54:00 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:54:01 | INFO | LOOP_START | Iteration 171
2026-03-18 00:54:04 | INFO | LOOP_START | Iteration 172
2026-03-18 00:54:08 | INFO | LOOP_START | Iteration 173
2026-03-18 00:54:12 | INFO | LOOP_START | Iteration 174
2026-03-18 00:54:16 | INFO | LOOP_START | Iteration 175
2026-03-18 00:54:20 | INFO | LOOP_START | Iteration 176
2026-03-18 00:54:26 | INFO | LOOP_START | Iteration 177
2026-03-18 00:54:31 | INFO | LOOP_START | Iteration 178
2026-03-18 00:54:38 | INFO | LOOP_START | Iteration 179
2026-03-18 00:54:45 | INFO | LOOP_START | Iteration 180
2026-03-18 00:54:49 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:54:50 | INFO | LOOP_START | Iteration 181
2026-03-18 00:54:55 | INFO | LOOP_START | Iteration 182
2026-03-18 00:54:59 | INFO | LOOP_START | Iteration 183
2026-03-18 00:55:05 | INFO | LOOP_START | Iteration 184
2026-03-18 00:55:13 | INFO | LOOP_START | Iteration 185
2026-03-18 00:55:20 | INFO | LOOP_START | Iteration 186
2026-03-18 00:55:25 | INFO | LOOP_START | Iteration 187
2026-03-18 00:55:31 | INFO | LOOP_START | Iteration 188
2026-03-18 00:55:37 | INFO | LOOP_START | Iteration 189
2026-03-18 00:55:43 | INFO | LOOP_START | Iteration 190
2026-03-18 00:55:49 | INFO | CHARTS_REGENERATED | [M1] surface=0
2026-03-18 00:55:50 | INFO | LOOP_START | Iteration 191
2026-03-18 00:55:55 | INFO | LOOP_START | Iteration 192
2026-03-18 00:56:01 | INFO | LOOP_START | Iteration 193
2026-03-18 00:56:06 | INFO | LOOP_START | Iteration 194
2026-03-18 00:56:11 | INFO | LOOP_START | Iteration 195
2026-03-18 00:56:17 | INFO | LOOP_START | Iteration 196
2026-03-18 00:56:21 | INFO | REGIME_CHANGE | [M1] sbar 1.2363024371408378 → 0.225
2026-03-18 00:56:22 | INFO | CHARTS_REGENERATED | [M1] surface=1
2026-03-18 00:56:23 | INFO | LOOP_START | Iteration 197
2026-03-18 00:56:28 | INFO | LOOP_START | Iteration 198
2026-03-18 00:56:33 | INFO | LOOP_START | Iteration 199
2026-03-18 00:56:39 | INFO | LOOP_START | Iteration 200
2026-03-18 00:56:43 | INFO | CHARTS_REGENERATED | [M1] surface=1
2026-03-18 00:56:44 | INFO | LOOP_START | Iteration 201
2026-03-18 00:56:49 | INFO | LOOP_START | Iteration 202
2026-03-18 00:56:55 | INFO | LOOP_START | Iteration 203
